"Table 1. Respondent profile, overall, by province/territory, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Overall,Males,Females,Ages 18-26,Ages 27-49,Ages 50-64,Ages 65-79,Ages 80+,,,,,,,,,,,,,,,,,,,,,,
Yes,"3,665",12.60%,70,16.70%,18,14.5%+,130,16.80%,85,13.80%,509,7.60%,"1,577",14.10%,132,13.00%,125,14.90%,448,13.90%,561,13.90%,3,11.10%,4,13.7%*,#,#,,
,,[12.0-13.2],,[13.4-20.6],,[11.3-18.4],,[13.8-20.3],,[10.9-17.3],,[6.6-8.7],,[12.9-15.3],,[10.3-16.2],,[12.0-18.4],,[12.3-15.8],,[12.3-15.7],,[7.4-16.3],,[8.3-21.8],,,,
No,"25,410",87.40%,348,83.30%,104,85.5%-,647,83.20%,534,86.20%,"6,223",92.40%,"9,640",85.90%,883,87.00%,711,85.10%,"2,763",86.10%,"3,482",86.10%,28,88.90%,27,86.30%,#,#,,
,,[86.8-88.0],,[79.4-86.6],,[81.6-88.7],,[79.7-86.2],,[82.7-89.1],,[91.3-93.4],,[84.7-87.1],,[83.8-89.7],,[81.6-88.0],,[84.2-87.7],,[84.3-87.7],,[83.7-92.6],,[78.2-91.7],,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Disability refers a person who has a long-term or recurring impairment (such as vision, hearing, mobility, flexibility, dexterity, pain, learning, developmental, memory or mental health-related) which limits their daily activities inside or outside the home (such as at school, work, or in the community in general).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 32a. Percentage of respondents who live in an urban or rural environment, overall, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1. Do you live in an urban or rural area? (n=11,930); (n(000s)=29,136)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,,,,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban,"23,441",80. 5%-,"11,543",81.40%,"11,660",79.5%+,"2,820",86.20%,"9,573",83.70%,"6,618",77.5%-,"4,077",75.10%,354,77.10%,,,,,,,,,,,,,,
,,[79.7-81.2],,[80.4-82.4],,[78.5-80.5],,[83.7-88.3],,[82.6-84.8],,[76.1-78.8],,[73.3-76.8],,[71.1-82.2],,,,,,,,,,,,,,
Rural,"5,695",19.5%+,"2,642",18.60%,"2,998",20.5%-,452,13.80%,"1,863",16.30%,"1,924",22.5%+,"1,351",24.90%,105,22.90%,,,,,,,,,,,,,,
,,[18.8-20.3],,[17.6-19.6],,[19.5-21.6],,[11.7-16.3],,[15.2-17.4],,[21.2-23.9],,[23.2-26.7],,[17.8-28.9],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"An urban area is a city, town, or village with a population of 1000 people or more, while a rural area is any other area of lower population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 32b. Gender of respondents, overall, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2. What is your gender? (n=12,020); (n(000s)=29,393)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,,,,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,"14,241",48.40%,"14,121",98.5%+,84,0.60%,"1,797",53.5%-,"5,534",48.00%,"3,961",46.10%,"2,714",49.80%,235,51.00%,,,,,,,,,,,,,,
,,[47.5-49.4],,[98.2-98.8],,[0.4-0.8],,[50.2-56.7],,[46.6-49.4],,[44.5-47.7],,[47.8-51.8],,[44.4-57.6],,,,,,,,,,,,,,
Woman,"14,953",50.90%,150,1.00%,"14,743",98.80%,"1,472",43.80%,"5,904",51.20%,"4,619",53.80%,"2,732",50.10%,226,49.00%,,,,,,,,,,,,,,
,,[49.9-51.9],,[0.8-1.3],,[98.5-99.0],,[40.6-47.0],,[49.8-52.7],,[52.2-55.3],,[48.2-52.1],,[42.4-55.6],,,,,,,,,,,,,,
Other,199,0.70%,61,0.40%,98,0.70%,93,2.80%,90,0.80%,12,0.10%,#,#,Nil,Nil,,,,,,,,,,,,,,
,,[0.5-0.8],,[0.3-0.6],,[0.5-0.9],,[1.9-4.1],,[0.6-1.1],,[0.1-0.3],,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender refers to respondents' current gender which may be different from sex assigned at birth and may be different from what is indicated on legal documents.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nil indicates no response was provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 32c. Racial or ethnic background of respondents, overall, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3. What is your racial/ethnic background? (n=11,833); (n(000s)=29,997)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,,,,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Black (African, Afro-Caribbean, African descent)","1,367",4.70%,685,4.90%,661,4.5%+,270,8.10%,772,6.80%,246,2.90%,73,1.40%,#,#,,,,,,,,,,,,,,
,,[4.4-5.1],,[4.4-5.5],,[4.0-5.1],,[6.5-10.1],,[6.1-7.6],,[2.4-3.5],,[1.0-1.9],,,,,,,,,,,,,,,,
East/Southeast Asian¹,"2,244",7.80%,"1,164",8.30%,"1,066",7.30%,449,13.5%+,"1,175",10.30%,462,5.5%-,151,2.80%,#,#,,,,,,,,,,,,,,
,,[7.3-8.3],,[7.6-9.1],,[6.6-8.0],,[11.4-15.9],,[9.5-11.2],,[4.8-6.3],,[2.2-3.6],,,,,,,,,,,,,,,,
"Indigenous (First Nations, Métis and/or Inuit)",987,3.40%,449,3.20%,521,3.60%,179,5.40%,430,3.80%,269,3.20%,106,2.00%,#,#,,,,,,,,,,,,,,
,,[3.1-3.8],,[2.8-3.7],,[3.1-4.1],,[4.1-7.1],,[3.3-4.4],,[2.7-3.8],,[1.5-2.6],,,,,,,,,,,,,,,,
"G4. Do you identify as First Nations, Métis and/or Inuit? (n=386); (n(000s)=853)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Nations (includes status and non-status individuals),443,51.90%,192,50.5%-,241,52.60%,92,60.00%,198,53.60%,119,50.60%,33,35.40%,#,#,,,,,,,,,,,,,,
,,[46.9-56.8],,[43.1-57.8],,[45.8-59.3],,[45.6-72.9],,[45.7-61.3],,[42.2-59.0],,[23.7-49.3],,,,,,,,,,,,,,,,
Métis,383,44.90%,180,47.30%,198,43.40%,57,37.5%-,161,43.5%-,108,46.10%,57,61.80%,Nil,Nil,,,,,,,,,,,,,,
,,[40.0-49.9],,[40.0-54.7],,[36.8-50.2],,[25.0-51.9],,[35.9-51.4],,[37.8-54.5],,[47.9-73.9],,,,,,,,,,,,,,,,
Inuit,31,3.70%,11,2.8%*,21,4.5%+,#,#,15,4.0%*,8,3.40%,#,#,#,#,,,,,,,,,,,,,,
,,[2.2-6.0],,[1.2-6.4],,[2.4-8.3],,,,[1.9-8.4],,[1.4-8.0],,,,,,,,,,,,,,,,,,
Latino/Latina²,731,2.5%+,357,2.60%,370,2.5%+,130,3.90%,414,3.60%,132,1.60%,53,1.00%,#,#,,,,,,,,,,,,,,
,,[2.3-2.8],,[2.2-3.0],,[2.3-2.8],,[2.8-5.4],,[3.1-4.2],,[1.2-2.0],,[0.7-1.5],,,,,,,,,,,,,,,,
Middle Eastern and North African³,"1,140",3.90%,680,4.90%,447,3.00%,167,5.00%,593,5.20%,286,3.40%,90,1.70%,#,#,,,,,,,,,,,,,,
,,[3.6-4.3],,[4.3-5.4],,[2.6-3.5],,[3.8-6.7],,[4.6-5.9],,[2.9-4.0],,[1.2-2.3],,,,,,,,,,,,,,,,
South Asian 4,"1,540",5.30%,832,5.90%,680,4.60%,323,9.70%,893,7.80%,246,2.90%,72,1.30%,#,#,,,,,,,,,,,,,,
,,[4.9-5.7],,[5.4-6.6],,[4.1-5.2],,[8.0-11.9],,[7.1-8.7],,[2.4-3.5],,[1.0-1.9],,,,,,,,,,,,,,,,
White 5,"21,517",74.40%,"10,158",72.5%-,"11,199",76.30%,"2,035",61.30%,"7,444",65.40%,"6,808",80.90%,"4,809",89.70%,421,92.60%,,,,,,,,,,,,,,
,,[73.6-75.2],,[71.3-73.6],,[75.2-77.4],,[58.1-64.4],,[64.0-66.8],,[79.6-82.1],,[88.4-90.9],,[88.2-95.4],,,,,,,,,,,,,,
Other,471,1.60%,210,1.5%+,253,1.70%,38,1.10%,159,1.40%,137,1.60%,120,2.20%,17,3.70%,,,,,,,,,,,,,,
,,[1.4-1.9],,[1.2-1.9],,[1.4-2.1],,[0.6-2.1],,[1.1-1.8],,[1.3-2.1],,[1.7-2.9],,[1.9-7.2],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nil indicates no response was provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: respondents could select more than one ethnicity; percentages will not sum to 100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"¹ e.g., Chinese, Korean, Japanese, Taiwanese, Filipino, Vietnamese, Cambodian, Thai, Indonesian, other East/Southeast Asian descent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"² e.g., Latin American, Hispanic descent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"³ e.g., Arab, Algerian, Egyptian, West Asian descent (e.g., Iranian, Israeli, Lebanese, Turkish, Kurdish, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 e.g., Afghan, Indian, Pakistani, Bangladeshi, Sri Lankan, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5 e.g., European, Caucasian, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 32d. Citizenship status of respondents, overall, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G5. Which group best defines your citizenship status in Canada? (n=12,026); (n(000s)=29,410)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,,,,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian citizen by birth¹,"21,084",71.70%,"9,903",69.60%,"10,989",73.80%,"2,405",71.60%,"7,561",65.40%,"6,418",74.70%,"4,334",79.80%,366,79.60%,,,,,,,,,,,,,,
,,[70.9-72.5],,[68.4-70.7],,[72.7-74.9],,[68.5-74.4],,[64.0-66.7],,[73.3-76.1],,[78.1-81.3],,[73.8-84.5],,,,,,,,,,,,,,
Canadian citizen by naturalization²,"5,140",17.5%-,"2,687",18.90%,"2,408",16.20%,413,12.30%,"2,020",17.5%-,"1,708",19.90%,921,16.90%,80,17.20%,,,,,,,,,,,,,,
,,[16.8-18.2],,[17.9-19.9],,[15.3-17.1],,[10.3-14.6],,[16.4-18.6],,[18.7-21.2],,[15.5-18.5],,[12.7-22.8],,,,,,,,,,,,,,
Permanent resident/landed immigrant,"2,305",7.80%,"1,150",8.10%,"1,127",7.60%,280,8.30%,"1,422",12.30%,430,5.00%,161,3.00%,11,2.40%,,,,,,,,,,,,,,
,,[7.4-8.3],,[7.4-8.8],,[6.9-8.3],,[6.7-10.3],,[11.4-13.3],,[4.4-5.7],,[2.4-3.7],,[1.1-5.4],,,,,,,,,,,,,,
Other³,881,3.00%,496,3.5%-,369,2.5%-,262,7.80%,564,4.90%,34,0.40%,18,0.30%,#,#,,,,,,,,,,,,,,
,,[2.7-3.3],,[3.0-4.0],,[2.1-2.9],,[6.2-9.7],,[4.3-5.5],,[0.2-0.6],,[0.2-0.6],,,,,,,,,,,,,,,,
"G6. How long have you been living in Canada?† (n=3,001); (n(000s)=8,000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than five (5) years,"1,206",15.10%,652,15.70%,547,14.5%-,233,26.40%,902,23.5%+,55,2.60%,16,1.5%-,Nil,Nil,,,,,,,,,,,,,,
,,[13.8-16.4],,[14.0-17.6],,[12.7-16.4],,[21.0-32.5],,[21.4-25.8],,[1.7-3.9],,[0.7-3.1],,,,,,,,,,,,,,,,
Five (5) years or more,"6,794",84.90%,"3,495",84.30%,"3,229",85.5%+,649,73.60%,"2,930",76.5%-,"2,049",97.40%,"1,072",98.5%+,#,#,,,,,,,,,,,,,,
,,[83.6-86.2],,[82.4-86.0],,[83.6-87.3],,[67.5-79.0],,[74.2-78.6],,[96.1-98.3],,[96.9-99.3],,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nil indicates no response was provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¹ Born in Canada or born outside Canada with at least one of your parents being Canadian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"² Canadian citizen by naturalization refers to a person who was not born a Canadian citizen, but was granted Canadian citizenship under the Citizenship Act",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"³ Refugee claimant/asylum seekers, temporary resident in Canada (e.g., international student, temporary foreign worker, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"† Applies to Canadian citizens by naturalization, permanent residents/landed immigrants, and other respondents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 32e. Education level of respondents, overall, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G7. What is the highest level of formal education you have completed? (n=12,004); (n(000s)=29,350)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,,,,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade 8 or less/Secondaire II in Québec or less,245,0.80%,136,1.00%,108,0.70%,33,1.00%,60,0.5%+,95,1.10%,52,1.00%,6,1.20%,,,,,,,,,,,,,,
,,[0.7-1.0],,[0.7-1.2],,[0.5-1.0],,[0.5-1.9],,[0.3-0.8],,[0.8-1.5],,[0.6-1.4],,[0.4-3.7],,,,,,,,,,,,,,
Some high school,"1,123",3.80%,623,4.40%,493,3.30%,126,3.80%,312,2.70%,325,3.80%,295,5.40%,65,14.00%,,,,,,,,,,,,,,
,,[3.5-4.2],,[3.9-4.9],,[2.9-3.8],,[2.7-5.2],,[2.3-3.2],,[3.2-4.4],,[4.6-6.4],,[10.0-19.2],,,,,,,,,,,,,,
High school/Secondary school/École secondaire diploma or equivalent,"5,293",18.00%,"2,726",19.10%,"2,502",16.90%,"1,115",33.20%,"1,345",11.70%,"1,540",18.00%,"1,197",22.10%,96,20.70%,,,,,,,,,,,,,,
,,[17.4-18.7],,[18.2-20.2],,[16-17.8],,[30.2-36.4],,[10.8-12.6],,[16.8-19.2],,[20.5-23.7],,[15.8-26.5],,,,,,,,,,,,,,
Registered apprenticeship or other trade certificate or diploma,"2,132",7.30%,"1,422",10.00%,684,4.60%,165,4.90%,888,7.70%,643,7.5%+,417,7.70%,19,4.00%,,,,,,,,,,,,,,
,,[6.8-7.7],,[9.2-10.8],,[4.1-5.2],,[3.7-6.5],,[7.0-8.5],,[6.7-8.4],,[6.7-8.8],,[2.1-7.5],,,,,,,,,,,,,,
College/CEGEP or other non-university certificate or diploma,"6,250",21.30%,"2,576",18.10%,"3,622",24.40%,666,19.80%,"2,222",19.30%,"2,274",26.5%+,"1,014",18.70%,74,15.90%,,,,,,,,,,,,,,
,,[20.6-22.0],,[17.1-19.1],,[23.4-25.5],,[17.4-22.6],,[18.2-20.4],,[25.2-28.0],,[17.2-20.3],,[11.6-21.3],,,,,,,,,,,,,,
University certificate or diploma below bachelor’s level,"1,779",6.10%,798,5.60%,951,6.40%,172,5.10%,689,6.00%,507,5.90%,381,7.00%,30,6.40%,,,,,,,,,,,,,,
,,[5.6-6.5],,[5.0-6.2],,[5.8-7.1],,[3.9-6.8],,[5.3-6.7],,[5.2-6.7],,[6.1-8.1],,[3.9-10.5],,,,,,,,,,,,,,
University – bachelor’s degree,"7,263",24.70%,"3,397",23.90%,"3,805",25.70%,920,27.40%,"3,362",29.20%,"1,838",21.40%,"1,077",19.80%,66,14.20%,,,,,,,,,,,,,,
,,[24.0-25.5],,[22.8-25.0],,[24.6-26.8],,[24.6-30.4],,[27.9-30.5],,[20.2-22.8],,[18.3-21.5],,[10.2-19.5],,,,,,,,,,,,,,
University – post-graduate degree above bachelor’s level,"5,232",17.80%,"2,548",17.90%,"2,635",17.80%,159,4.70%,"2,645",22.90%,"1,336",15.60%,983,18.10%,110,23.60%,,,,,,,,,,,,,,
,,[17.2-18.5],,[16.9-18.9],,[16.8-18.8],,[3.5-6.3],,[21.7-24.2],,[14.5-16.8],,[16.6-19.7],,[18.5-29.7],,,,,,,,,,,,,,
Other,34,0.10%,11,0.10%,22,0.20%,Nil,Nil,#,#,14,0.20%,13,0.20%,Nil,Nil,,,,,,,,,,,,,,
,,[0.1-0.2],,[0.0-0.2],,[0.1-0.3],,,,,,[0.1-0.4],,[0.1-0.5],,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nil indicates no response was provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 32f. Employment status of respondents, overall, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G8. Which of the following categories best describes your current employment status? (n=11,990); (n(000s)=29,332)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,,,,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Working full-time¹,"14,485",49.40%,"7,733",54.40%,"6,605",44.5%+,"1,480",44.20%,"8,042",69.80%,"4,442",51.90%,509,9.40%,11,2.40%,,,,,,,,,,,,,,
,,[48.5-50.3],,[53.2-55.7],,[43.3-45.8],,[41.0-47.5],,[68.5-71.1],,[50.3-53.5],,[8.3-10.6],,[1.1-5.4],,,,,,,,,,,,,,
Working part-time²,"2,317",7.90%,750,5.30%,"1,532",10.30%,433,12.90%,916,7.90%,656,7.70%,301,5.5%+,#,#,,,,,,,,,,,,,,
,,[7.4-8.4],,[4.7-5.9],,[9.6-11.1],,[10.9-15.3],,[7.2-8.8],,[6.9-8.5],,[4.7-6.5],,,,,,,,,,,,,,,,
Self-employed,"2,490",8.5%-,"1,417",10.00%,"1,041",7.00%,111,3.30%,985,8.5%+,"1,004",11.70%,369,6.80%,22,4.80%,,,,,,,,,,,,,,
,,[8.0-9.0],,[9.2-10.8],,[6.4-7.7],,[2.3-4.7],,[7.8-9.4],,[10.8-12.8],,[5.9-7.8],,[2.6-8.4],,,,,,,,,,,,,,
"Unemployed, but looking for work","1,018",3.5%-,547,3.90%,453,3.10%,304,9.10%,473,4.10%,209,2.40%,32,0.60%,Nil,Nil,,,,,,,,,,,,,,
,,[3.2-3.8],,[3.4-4.4],,[2.7-3.5],,[7.4-11.1],,[3.6-4.7],,[2.0-3.0],,[0.3-1.0],,,,,,,,,,,,,,,,
